2009-02-08 22:34:23 Notice: Notice (8): Undefined index:  type in [APP/views/elements/showASchools.ctp, line 27]
2009-02-08 22:34:23 Notice: Notice (8): Undefined index:   in [APP/views/elements/showASchools.ctp, line 27]
2009-03-05 18:24:26 Notice: Notice (8): Undefined variable: ab in [APP/views/b_bases/index.ctp, line 3]
2009-03-05 18:44:13 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 14]
2009-03-05 18:44:52 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 14]
2009-03-05 18:46:18 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 14]
2009-03-05 18:47:58 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 15]
2009-03-05 18:49:03 Notice: Notice (8): Undefined property: BBasesController::$BBases in [APP/controllers/b_bases_controller.php, line 15]
2009-03-05 18:49:15 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 15]
2009-03-05 18:52:22 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 14]
2009-03-05 18:53:53 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 16]
2009-03-05 18:56:41 Notice: Notice (8): Undefined variable: availYears in [APP/controllers/b_bases_controller.php, line 18]
2009-03-05 18:56:48 Notice: Notice (8): Undefined variable: theYears in [APP/views/b_bases/get_from_area_id.ctp, line 8]
2009-03-05 18:59:23 Notice: Notice (8): Undefined property: BBasesController::$BBases in [APP/controllers/b_bases_controller.php, line 14]
2009-03-05 18:59:37 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 14]
2009-03-05 19:00:31 Notice: Notice (8): Undefined property: BBasesController::$BBase in [APP/controllers/b_bases_controller.php, line 16]
2009-03-05 19:01:18 Notice: Notice (8): Undefined variable: theYears in [APP/views/b_bases/get_from_area_id.ctp, line 8]
2009-03-05 19:57:47 Notice: Notice (8): Undefined variable: javascript in [APP/views/elements/header.ctp, line 3]
2009-03-05 19:57:54 Notice: Notice (8): Undefined variable: javascript in [APP/views/elements/header.ctp, line 3]
2009-03-05 19:58:25 Notice: Notice (8): Undefined variable: javascript in [APP/views/elements/header.ctp, line 3]
2009-03-05 19:59:34 Notice: Notice (8): Undefined variable: javascript in [APP/views/elements/header.ctp, line 3]
2009-03-05 19:59:36 Notice: Notice (8): Undefined variable: javascript in [APP/views/elements/header.ctp, line 3]
2009-03-05 19:59:36 Notice: Notice (8): Undefined variable: javascript in [APP/views/elements/header.ctp, line 3]
2009-03-05 19:59:40 Notice: Notice (8): Undefined variable: javascript in [APP/views/elements/header.ctp, line 3]
2009-03-05 20:00:30 Notice: Notice (8): Undefined variable: javascript in [APP/views/elements/header.ctp, line 3]
2009-03-05 20:18:43 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2009-03-05 20:20:10 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2009-03-05 20:20:13 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2009-03-05 20:20:53 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2009-03-05 20:22:16 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2009-03-05 20:22:21 Notice: Notice (8): Undefined variable: javascript in [APP/views/layouts/default.ctp, line 16]
2009-03-05 20:29:17 Notice: Notice (8): Undefined index:  lektiko in [APP/views/provinces/index.ctp, line 18]
2009-03-05 20:29:17 Notice: Notice (8): Undefined index:  url in [APP/views/provinces/index.ctp, line 21]
2009-03-05 20:29:52 Notice: Notice (8): Undefined index:  year in [APP/views/b_bases/get_from_area_id.ctp, line 10]
2009-03-05 20:30:10 Notice: Notice (8): Use of undefined constant year - assumed 'year' in [APP/views/b_bases/get_from_area_id.ctp, line 10]
2009-03-05 20:30:10 Notice: Notice (8): Undefined index:  year in [APP/views/b_bases/get_from_area_id.ctp, line 10]
2009-03-05 20:34:49 Notice: Notice (8): Undefined offset:  0 in [APP/views/b_bases/get_from_area_id.ctp, line 10]
2009-03-05 20:34:54 Notice: Notice (8): Undefined index:  year in [APP/views/b_bases/get_from_area_id.ctp, line 10]
2009-06-03 12:00:28 Notice: Notice (8): Undefined index:  description in [APP/controllers/b_areas_controller.php, line 37]
2009-06-03 12:00:39 Notice: Notice (8): Undefined index:  description in [APP/controllers/b_areas_controller.php, line 37]
2009-06-03 12:41:26 Notice: Notice (8): Undefined variable: b_areas_select in [APP/views/b_schools/search.ctp, line 18]
2009-06-03 12:41:35 Notice: Notice (8): Undefined variable: b_areas_select in [APP/views/b_schools/search.ctp, line 18]
2009-06-03 12:41:55 Notice: Notice (8): Undefined variable: b_areas_select in [APP/views/b_schools/search.ctp, line 18]
2009-06-03 13:38:55 Notice: Notice (8): Undefined variable: b_areas_select in [APP/views/b_schools/search.ctp, line 19]
2009-06-03 13:55:58 Notice: Notice (8): Undefined variable: b_areas_select in [APP/views/b_schools/search.ctp, line 19]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: dideId in [APP/controllers/b_schools_controller.php, line 86]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/provinces_controller.php, line 32]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: dideId in [APP/controllers/b_schools_controller.php, line 87]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/b_areas_controller.php, line 56]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: dideId in [APP/controllers/b_schools_controller.php, line 88]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/provinces_controller.php, line 36]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/regions_controller.php, line 13]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: dideId in [APP/controllers/b_schools_controller.php, line 86]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/provinces_controller.php, line 32]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: dideId in [APP/controllers/b_schools_controller.php, line 87]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/b_areas_controller.php, line 56]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: dideId in [APP/controllers/b_schools_controller.php, line 88]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/provinces_controller.php, line 36]
2009-06-03 13:57:35 Notice: Notice (8): Undefined variable: id in [APP/controllers/regions_controller.php, line 13]
2009-06-03 14:01:04 Notice: Notice (8): Undefined index:  moreLEss in [APP/views/b_schools/search.ctp, line 26]
2009-06-03 14:09:36 Notice: Notice (8): Undefined index:  municipality in [APP/controllers/b_schools_controller.php, line 88]
2009-06-03 14:09:36 Notice: Notice (8): Undefined index:  dideId in [APP/controllers/b_schools_controller.php, line 92]
2009-06-03 14:11:04 Notice: Notice (8): Undefined index:  municipality in [APP/controllers/b_schools_controller.php, line 88]
2009-06-03 14:11:44 Notice: Notice (8): Undefined index:  municipality in [APP/controllers/b_schools_controller.php, line 88]
2009-07-07 11:07:05 Notice: Notice (8): Undefined index:  moreLess in [APP/controllers/b_schools_controller.php, line 91]
2009-07-07 11:07:15 Notice: Notice (8): Undefined index:  moreLess in [APP/controllers/b_schools_controller.php, line 91]
2009-07-07 11:07:44 Notice: Notice (8): Undefined index:  moreLess in [APP/controllers/b_schools_controller.php, line 91]
2009-07-07 11:08:18 Notice: Notice (8): Undefined index:  moreLess in [APP/controllers/b_schools_controller.php, line 95]
2009-07-07 11:08:22 Notice: Notice (8): Undefined index:  moreLess in [APP/controllers/b_schools_controller.php, line 95]
2009-07-07 11:08:52 Notice: Notice (8): Undefined index:  moreLess in [APP/controllers/b_schools_controller.php, line 95]
2009-07-07 11:21:53 Notice: Notice (8): Undefined variable: b_areas in [APP/views/b_schools/search.ctp, line 31]
2009-07-07 11:21:53 Notice: Notice (8): Undefined variable: b_school_types in [APP/views/b_schools/search.ctp, line 32]
2009-07-07 11:21:53 Notice: Notice (8): Undefined variable: schools in [APP/views/b_schools/search.ctp, line 33]
2009-07-07 11:21:53 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/showBSchools.ctp, line 8]
2009-07-07 11:22:01 Notice: Notice (8): Undefined variable: b_areas in [APP/views/b_schools/search.ctp, line 31]
2009-07-07 11:22:01 Notice: Notice (8): Undefined variable: b_school_types in [APP/views/b_schools/search.ctp, line 32]
2009-07-07 11:22:01 Notice: Notice (8): Undefined variable: schools in [APP/views/b_schools/search.ctp, line 33]
2009-07-07 11:22:01 Notice: Notice (8): Undefined variable: paginator in [APP/views/elements/showBSchools.ctp, line 8]
2009-07-07 11:24:10 Notice: Notice (8): Undefined variable: b_areas_select in [APP/views/b_schools/search.ctp, line 23]
2009-07-07 11:29:06 Notice: Notice (8): Undefined index:  moreLess in [APP/controllers/b_schools_controller.php, line 83]
2009-07-07 11:29:06 Notice: Notice (8): Undefined index:  moreLess in [APP/controllers/b_schools_controller.php, line 83]
2009-07-07 11:34:02 Notice: Notice (8): Undefined variable: conditions in [APP/controllers/b_schools_controller.php, line 88]
2009-07-07 11:34:14 Notice: Notice (8): Undefined variable: conditions in [APP/controllers/b_schools_controller.php, line 88]
2009-08-21 11:16:47 Notice: Notice (8): Undefined variable: id in [APP/controllers/a_areas_controller.php, line 20]
2009-08-21 11:16:47 Notice: Notice (8): Undefined variable: id in [APP/controllers/a_schools_controller.php, line 34]
